ID,Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active,WHO Region
162,,Morocco,31.7917,-7.0926,2020/01/22,0,0,0,0,Eastern Mediterranean
163,,Namibia,-22.9576,18.4904,2020/01/22,0,0,0,0,Africa
164,,Nepal,28.1667,84.25,2020/01/22,0,0,-69722,0,South-East Asia
165,Aruba,Netherlands,12.5211,-69.9683,2020/01/22,0,0,0,0,Europe
166,Curacao,Netherlands,12.1696,-68.99,2020/01/22,0,0,0,0,Europe
167,Sint Maarten,Netherlands,18.0425,-63.0548,2020/01/22,0,0,0,0,Europe
168,,Netherlands,52.1326,5.2913,2020/01/22,0,0,0,0,Europe
169,,New Zealand,-40.9006,174.886,2020/01/22,0,0,0,0,Western Paicfic
170,,Nicaragua,12.865416,-85.207229,2020/01/22,0,0,0,0,Americas
171,,Niger,17.607789,8.081666,2020/01/22,0,0,0,0,Africa
172,,Nigeria,9.082,8.6753,2020/01/22,0,0,0,0,Africa
173,,North Macedonia,41.6086,21.7453,2020/01/22,0,0,0,0,Euope
174,,Norway,60.472,8.4689,2020/01/22,0,0,0,0,Europe
175,,Oman,21.512583,55.92325500000001,2020/01/22,0,0,0,0,Eastern Mediterranean
176,,Pakistan,30.3753,69.3451,2020/01/22,0,0,0,0,Eastern Mediterranean
177,,Panama,8.538,-80.7821,2020/01/22,0,0,0,0,Americas
178,,Papua New Guinea,-6.314993,143.95555,2020/01/22,0,0,0,0,Western Pacific
179,,Paraguay,-23.4425,-58.4438,2020/01/22,0,0,0,0,Americas
180,,Peru,-9.19,-75.0152,2020/01/22,0,0,0,0,Americas
181,,Philippines,12.879721,121.774017,2020/01/22,0,0,0,0,Western Pacific
182,,Poland,51.9194,19.1451,2020/01/22,0,0,0,0,Europe
183,,Portugal,39.3999,-8.2245,2020/01/22,0,0,0,0,Europe
184,,Qatar,25.3548,51.1839,2020/01/22,0,0,0,0,Eastern Mediterranean
185,,Romania,45.9432,24.9668,2020/01/22,-299,0,0,0,Europe
186,,Russia,61.52401,105.318756,2020/01/22,0,0,0,0,Europe
187,,Rwanda,-1.9403,29.8739,2020/01/22,0,0,0,0,Africa
188,,Saint Lucia,13.9094,-60.9789,2020/01/22,0,0,0,0,Americas
189,,Saint Vincent and the Grenadines,12.9843,-61.2872,2020/01/22,0,0,0,0,Americas
190,,San Marino,43.9424,12.4578,2020/01/22,0,0,0,0,Europe
191,,Saudi Arabia,23.885942,45.079162,2020/01/22,0,0,0,0,Eastern Mediterranean
192,,Senegal,14.4974,-14.4524,2020/01/22,0,0,0,0,Africa
193,,Serbia,44.0165,21.0059,2020/01/22,0,0,0,0,Europe
194,,Seychelles,-4.6796,55.492,2020/01/22,0,0,-63384,0,Africa
195,,Singapore,1.2833,103.8333,2020/01/22,0,0,0,0,Western Pacific
196,,Slovakia,48.669,19.699,2020/01/22,0,0,0,0,Europe
197,,Slovenia,46.1512,14.9955,2020/01/22,0,0,0,0,Europe
198,,Somalia,5.152149,46.199616,2020/01/22,0,0,0,0,Eastern Mediterranean
199,,South Africa,-30.5595,22.9375,2020/01/22,0,0,0,0,Africa
200,,Spain,40.463667,-3.74922,2020/01/22,0,0,0,0,Europe
201,,Sri Lanka,7.873054,80.77179699999998,2020/01/22,0,0,0,0,South-East Asia
202,,Sudan,12.8628,30.2176,2020/01/22,0,0,-82029,0,Eastern Mediterranean
203,,Suriname,3.9193,-56.0278,2020/01/22,0,0,0,0,Americas
204,,Sweden,60.128161,18.643501,2020/01/22,0,0,0,0,Europe
205,,Switzerland,46.8182,8.2275,2020/01/22,0,0,0,0,Europe
206,,Taiwan*,23.7,121.0,2020/01/22,1,0,0,1,Western Pacific
207,,Tanzania,-6.369028,34.888822,2020/01/22,0,0,0,0,Africa
208,,Thailand,15.870032,100.992541,2020/01/22,2,0,0,2,South-East Asia
209,,Togo,8.6195,0.8248,2020/01/22,0,0,0,0,Africa
210,,Trinidad and Tobago,10.6918,-61.2225,2020/01/22,0,0,0,0,Americas
211,,Tunisia,33.886917,9.537499,2020/01/22,0,0,0,0,Eastern Mediterranean
212,,Turkey,38.9637,35.2433,2020/01/22,0,0,0,0,Europe
213,,Uganda,1.373333,32.290275,2020/01/22,0,0,0,0,Africa
214,,Ukraine,48.3794,31.1656,2020/01/22,0,0,0,0,Europe
215,,United Arab Emirates,23.424076,53.847818,2020/01/22,0,0,0,0,Eastern Mediterranean
216,Bermuda,United Kingdom,32.3078,-64.7505,2020/01/22,0,0,0,0,Europe
217,Cayman Islands,United Kingdom,19.3133,-81.2546,2020/01/22,0,0,0,0,Europe
218,Channel Islands,United Kingdom,49.3723,-2.3644,2020/01/22,0,0,0,0,Europe
219,Gibraltar,United Kingdom,36.1408,-5.3536,2020/01/22,0,0,0,0,Europe
220,Isle of Man,United Kingdom,54.2361,-4.5481,2020/01/22,0,0,0,0,Europe
221,Montserrat,United Kingdom,16.742498,-62.187366,2020/01/22,0,Zero,0,0,Europe
222,,United Kingdom,55.3781,-3.4360000000000004,2020/01/22,0,0,0,0,Europe
223,,Uruguay,-32.5228,-55.7658,2020/01/22,0,0,0,0,Americas
224,,US,40.0,-100.0,2020/01/22,1,0,0,1,Americas
225,,Uzbekistan,41.377491,64.585262,2020/01/22,0,0,0,0,Europe
226,,Venezuela,6.4238,-66.5897,2020/01/22,0,0,0,0,Americas
227,,Vietnam,14.058324,108.277199,2020/01/22,0,0,0,0,Western Pacific
228,,Zambia,-13.133897,27.849332,2020/01/22,0,0,0,0,Africa
229,,Zimbabwe,-19.015438,29.154857,2020/01/22,0,0,0,0,Africa
230,,Dominica,15.415,-61.371,2020/01/22,0,0,0,0,Americas
231,,Grenada,12.1165,-61.679,2020/01/22,0,0,0,0,Americas
232,,Mozambique,-18.665695,35.529562,2020/01/22,0,0,0,0,Africa
233,,Syria,34.802075,38.99681500000001,2020/01/22,0,0,0,0,Eastern Mediterranean
234,,Timor-Leste,-8.874217,125.727539,2020/01/22,0,0,0,0,South-East Asia
235,,Belize,17.1899,-88.4976,2020/01/22,0,0,0,0,Americas
236,,Laos,19.85627,102.495496,2020/01/22,0,0,I0,0,Western Pacific
237,,Libya,26.3351,17.228331,2020/01/22,0,0,0,0,Eastern Mediterranean
238,,West Bank and Gaza,31.9522,35.2332,2020/01/22,0,Zero,0,0,Eastern Mediterranean
